FECHA_COMPRA;FECHA_ENTREGA;SUCURSAL;VENDEDOR;PRODUCTO;CANTIDAD;ORDEN;DIAS_ENTREGA
2023-11-04;2024-01-01;SUCURSAL 91;VENDEDOR 89;T-8979;4077;68-9723;58
2023-11-21;2023-12-19;SUCURSAL 63;VENDEDOR 642;D-2808;8136;87-1965;28
2023-11-27;2024-01-29;SUCURSAL 74;VENDEDOR 683;F-9881;760;73-7250;63
2023-11-08;2024-01-11;SUCURSAL 83;VENDEDOR 297;E-6078;9731;78-7913;64
2023-11-03;2023-12-23;SUCURSAL 81;VENDEDOR 146;J-1517;1460;84-9244;50
2023-11-05;2024-01-20;SUCURSAL 37;VENDEDOR 241;S-386;9607;85-8607;76
2023-11-07;2023-12-03;SUCURSAL 87;VENDEDOR 720;Z-4128;1701;74-3836;26
2023-11-01;2024-01-24;SUCURSAL 31;VENDEDOR 442;I-8030;4694;73-2370;84
2023-11-28;2023-12-07;SUCURSAL 83;VENDEDOR 960;J-9578;5026;90-2614;9
2023-11-10;2024-01-05;SUCURSAL 97;VENDEDOR 103;X-9173;9533;68-2964;56
2023-11-12;2023-12-05;SUCURSAL 25;VENDEDOR 236;F-5654;7510;68-6531;23
2023-11-18;2024-01-04;SUCURSAL 69;VENDEDOR 201;D-5099;2083;73-8174;47
2023-11-23;2023-12-17;SUCURSAL 82;VENDEDOR 704;C-3091;9741;76-6082;24
2023-11-06;2023-12-16;SUCURSAL 7;VENDEDOR 712;D-922;6731;76-3969;40
2023-11-30;2024-01-17;SUCURSAL 21;VENDEDOR 248;X-1074;5522;70-9206;48
2023-11-13;2024-01-09;SUCURSAL 80;VENDEDOR 689;Z-5522;1669;90-1859;57
2023-11-16;2023-12-04;SUCURSAL 69;VENDEDOR 153;L-5750;2881;78-789;18
2023-11-26;2024-01-28;SUCURSAL 82;VENDEDOR 582;I-8305;4690;67-3343;63
2023-11-18;2024-01-26;SUCURSAL 46;VENDEDOR 690;E-533;8827;89-8301;69
2023-11-01;2023-12-07;SUCURSAL 98;VENDEDOR 235;Y-520;9776;65-2548;36
2023-11-28;2024-01-04;SUCURSAL 14;VENDEDOR 534;K-7357;7049;78-9494;37
2023-11-19;2023-12-21;SUCURSAL 30;VENDEDOR 622;V-6608;6953;73-4665;32
2023-11-19;2024-01-02;SUCURSAL 34;VENDEDOR 602;A-3666;7831;89-7638;44
2023-11-13;2023-12-11;SUCURSAL 13;VENDEDOR 231;Q-8375;8772;75-9210;28
2023-11-19;2023-12-06;SUCURSAL 17;VENDEDOR 263;O-9765;2953;75-4096;17
2023-11-14;2024-01-17;SUCURSAL 26;VENDEDOR 648;M-6333;9613;87-226;64
2023-11-07;2023-12-04;SUCURSAL 35;VENDEDOR 150;R-4742;5424;82-2670;27
2023-11-19;2023-12-05;SUCURSAL 83;VENDEDOR 694;J-4362;3948;79-3831;16
